ID,Exclamation,Dollar,Spam,DemoPartition
406,0.369,0.109,1,t
790,0.347,0.000,1,t
830,0.123,0.278,1,t
914,0.000,0.210,1,t
1010,1.272,0.254,1,t
1048,0.976,0.397,1,t
1120,0.000,0.210,1,t
1193,0.441,0.000,1,t
1277,0.157,0.105,1,t
1286,0.548,0.199,1,t
1403,1.250,0.500,1,t
1429,0.000,0.500,1,t
1468,0.374,0.059,1,t
1496,0.485,0.388,1,t
1546,0.087,0.000,1,t
1660,0.820,0.410,1,t
1671,1.021,0.291,1,t
1703,0.353,0.254,1,t
1777,0.960,0.128,1,t
1798,0.329,0.141,1,t
2191,0.000,0.000,0,t
2335,0.000,0.000,0,t
2381,0.000,0.000,0,t
2385,0.000,0.000,0,t
2401,0.000,0.000,0,t
2404,0.000,0.000,0,t
2570,0.000,0.000,0,t
2580,0.000,0.000,0,t
2801,0.000,0.000,0,t
2821,0.000,0.000,0,t
2916,0.000,0.000,0,t
2944,0.060,0.053,0,t
3047,0.111,0.000,0,t
3058,0.000,0.000,0,t
3243,0.000,0.000,0,t
3642,0.000,0.000,0,t
3699,0.129,0.000,0,t
3722,0.000,0.000,0,t
3791,0.000,0.000,0,t
3996,0.000,0.000,0,t
3998,0.000,0.000,0,t
4028,0.000,0.023,0,t
4102,0.680,0.000,0,t
4388,0.000,0.123,0,t
4411,0.186,0.000,0,t
4559,0.000,0.008,0,t
1,0.778,0.000,1,v
2,0.372,0.180,1,v
3,0.276,0.184,1,v
4,0.137,0.000,1,v
5,0.135,0.000,1,v
6,0.000,0.000,1,v
7,0.164,0.054,1,v
8,0.000,0.000,1,v
9,0.181,0.203,1,v
10,0.244,0.081,1,v
11,0.462,0.000,1,v
12,0.663,0.000,1,v
13,0.786,0.000,1,v
14,0.000,0.000,1,v
15,0.357,0.000,1,v
16,0.572,0.063,1,v
17,0.428,0.000,1,v
18,1.975,0.370,1,v
19,0.455,0.000,1,v
20,0.055,0.496,1,v
21,0.729,0.000,1,v
22,0.250,0.046,1,v
23,0.809,0.000,1,v
24,0.667,0.000,1,v
25,0.392,0.196,1,v
26,0.250,0.046,1,v
27,0.392,0.196,1,v
28,0.368,0.000,1,v
29,0.352,0.000,1,v
30,0.091,0.000,1,v
31,0.886,0.000,1,v
32,2.112,0.000,1,v
33,0.000,0.091,1,v
34,0.000,0.302,1,v
35,0.000,0.000,1,v
36,1.543,0.000,1,v
37,0.873,0.000,1,v
38,0.488,0.244,1,v
39,0.963,0.000,1,v
40,0.750,0.000,1,v
41,0.207,0.207,1,v
42,0.671,0.000,1,v
43,0.711,0.000,1,v
44,0.426,0.000,1,v
45,0.813,0.036,1,v
46,1.318,0.068,1,v
47,0.010,0.167,1,v
48,0.170,0.000,1,v
49,0.325,0.756,1,v
50,0.278,0.230,1,v
51,0.000,0.000,1,v
52,0.498,0.332,1,v
53,0.244,0.071,1,v
54,0.198,0.596,1,v
55,0.500,0.333,1,v
56,1.478,0.000,1,v
57,0.615,0.061,1,v
58,0.000,0.000,1,v
59,1.501,0.000,1,v
60,0.669,0.000,1,v
61,0.000,0.000,1,v
62,0.175,0.000,1,v
63,0.000,0.000,1,v
64,0.048,0.048,1,v
65,0.019,0.019,1,v
66,2.205,0.000,1,v
67,0.589,0.294,1,v
68,0.500,0.000,1,v
69,1.053,0.351,1,v
70,0.000,0.100,1,v
71,0.537,0.000,1,v
72,0.877,0.000,1,v
73,0.807,0.000,1,v
74,0.298,0.223,1,v
75,0.486,0.243,1,v
76,1.366,0.000,1,v
77,0.165,0.082,1,v
78,0.437,0.234,1,v
79,0.132,0.000,1,v
80,0.000,0.338,1,v
81,1.431,0.000,1,v
82,0.197,0.000,1,v
83,0.495,0.000,1,v
84,0.724,0.000,1,v
85,0.834,0.000,1,v
86,0.571,0.214,1,v
87,0.061,0.061,1,v
88,0.268,0.000,1,v
89,0.096,0.085,1,v
90,0.000,0.000,1,v
91,1.083,0.333,1,v
92,0.322,0.764,1,v
93,0.613,0.532,1,v
94,0.612,0.531,1,v
95,0.082,0.823,1,v
96,0.000,0.000,1,v
97,1.284,0.000,1,v
98,0.736,0.000,1,v
99,0.310,0.000,1,v
100,0.461,0.527,1,v
101,0.380,0.000,1,v
102,0.662,0.000,1,v
103,1.529,0.000,1,v
104,0.662,0.000,1,v
105,1.529,0.000,1,v
106,0.662,0.000,1,v
107,1.529,0.000,1,v
108,0.462,0.000,1,v
109,1.529,0.000,1,v
110,0.000,0.000,1,v
111,1.907,0.000,1,v
112,0.000,0.000,1,v
113,0.000,0.177,1,v
114,0.000,0.000,1,v
115,0.000,0.119,1,v
116,0.542,0.000,1,v
117,0.054,0.118,1,v
118,0.054,0.118,1,v
119,0.542,0.000,1,v
120,1.158,0.331,1,v
121,0.054,0.118,1,v
122,0.054,0.118,1,v
123,0.335,1.281,1,v
124,0.271,0.024,1,v
125,0.092,0.322,1,v
126,1.194,0.054,1,v
127,0.089,0.178,1,v
128,0.427,0.000,1,v
129,0.706,0.212,1,v
130,0.970,0.149,1,v
131,0.598,0.179,1,v
132,0.121,0.000,1,v
133,0.606,0.000,1,v
134,0.299,0.174,1,v
135,0.215,0.431,1,v
136,0.160,0.160,1,v
137,0.160,0.160,1,v
138,0.120,0.541,1,v
139,0.000,0.000,1,v
140,0.000,0.000,1,v
141,0.120,0.541,1,v
142,0.558,0.279,1,v
143,0.335,1.281,1,v
144,0.558,0.279,1,v
145,0.715,0.000,1,v
146,0.215,0.431,1,v
147,0.120,0.541,1,v
148,0.865,0.023,1,v
149,0.063,0.126,1,v
150,0.565,0.121,1,v
151,0.261,0.000,1,v
152,1.320,0.330,1,v
153,0.200,0.000,1,v
154,1.055,0.000,1,v
155,0.484,0.000,1,v
156,0.000,0.000,1,v
157,0.117,0.117,1,v
158,0.135,0.000,1,v
159,1.088,0.000,1,v
160,0.000,0.185,1,v
161,0.146,0.146,1,v
162,0.081,0.816,1,v
163,0.265,0.000,1,v
164,0.000,0.000,1,v
165,0.081,0.816,1,v
166,0.517,0.000,1,v
167,0.000,0.000,1,v
168,0.700,0.000,1,v
169,0.567,0.024,1,v
170,0.518,0.000,1,v
171,0.310,0.000,1,v
172,0.095,0.013,1,v
173,0.892,0.000,1,v
174,1.443,0.000,1,v
175,0.889,0.000,1,v
176,0.968,0.000,1,v
177,0.000,0.000,1,v
178,0.944,0.145,1,v
179,0.583,0.000,1,v
180,0.969,0.000,1,v
181,0.258,0.258,1,v
182,0.259,0.259,1,v
183,0.835,0.000,1,v
184,1.083,0.144,1,v
185,0.118,0.000,1,v
186,1.754,0.000,1,v
187,0.032,0.140,1,v
188,0.000,0.000,1,v
189,0.280,0.186,1,v
190,0.135,0.000,1,v
191,0.000,0.000,1,v
192,0.830,0.069,1,v
193,1.192,0.000,1,v
194,0.585,0.046,1,v
195,0.095,0.013,1,v
196,0.294,0.147,1,v
197,1.180,0.252,1,v
198,0.108,0.013,1,v
199,1.183,0.253,1,v
200,0.067,0.000,1,v
